case_id,root_workflow_id,workflow_name,start_time,end_time,throughput_sec,total_tokens,activity_count,error_count,pii_in_case,category,currency,document_type,invoice_number,net_amount,total_amount,vendor
850,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:45:07.907,2026-06-08 19:45:31.715,23.808,3404,28,0,True,,,,,,,
852,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:45:33.719,2026-06-08 19:45:59.121,25.402,3236,27,0,True,,,,,,,
854,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:46:04.350,2026-06-08 19:46:47.416,43.066,3506,28,0,True,,,,,,,
856,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:46:48.885,2026-06-08 19:47:19.925,31.04,3239,28,0,True,,,,,,,
858,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:47:20.925,2026-06-08 19:47:49.723,28.798,2928,28,0,True,,,,,,,
860,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:47:51.041,2026-06-08 19:48:04.011,12.97,3198,27,0,True,,,,,,,
862,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:48:09.279,2026-06-08 19:48:28.670,19.391,3461,29,0,True,,,,,,,
864,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:48:29.947,2026-06-08 19:48:43.554,13.607,3495,28,0,True,,,,,,,
866,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 19:49:45.250,2026-06-08 19:50:02.404,17.154,4106,28,0,True,,,,,,,
868,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 20:06:56.124,2026-06-08 20:07:22.594,26.47,3809,28,0,True,,,,,,,
870,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-08 20:07:25.132,2026-06-08 20:07:41.594,16.462,3500,28,0,True,,,,,,,
910,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-12 17:40:49.698,2026-06-12 17:41:06.154,16.456,3164,28,0,True,,{{ $json.totalAmount }},{{ $json.category }},{{ $json.invoiceNumber }},{{ $json.netAmount }},,{{ $json.vendor }}
912,0FfuZSpuFwMn2OZbFGVir,Intelligent Invoice Processing,2026-06-12 19:10:36.848,2026-06-12 19:10:56.063,19.215,3159,28,0,True,Bürobedarf,,,22343,735.36,803.95,SuperStore
