case_id,workflow_id,root_workflow_id,activity,previous_activity,execution_index,timestamp,execution_time_sec,token_usage,data_volume_bytes,pii_detected,execution_status,error_type,system_overhead_sec
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Move File Archiv_Automatisch,Confirmation Email,0,2026-06-08 18:45:05.870,0.986,0,118,False,success,None,0.001
675,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Archive to Google Sheets (Automatisch),Move File Archiv_Automatisch,0,2026-06-08 18:45:08.411,2.539,0,542,True,success,None,0.002
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,New Invoice Trigger,,0,2026-06-08 18:45:12.168,0.348,0,4244,True,success,None,0.001
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Simple Memory 1,AI Agent: Data Ingestion Specialist,0,2026-06-08 18:45:12.185,0.001,0,52,False,success,None,0.016
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,OpenAI Chat Model 1,AI Agent: Data Ingestion Specialist,0,2026-06-08 18:45:13.423,1.209,538,2152,False,success,None,0.029
677,OeUtcaO-tBZkmMH9V9FBl,0FfuZSpuFwMn2OZbFGVir,When Executed by Another Workflow,,0,2026-06-08 18:45:13.454,0.001,0,62,False,success,None,0.001
677,OeUtcaO-tBZkmMH9V9FBl,0FfuZSpuFwMn2OZbFGVir,Download file,When Executed by Another Workflow,0,2026-06-08 18:45:14.643,1.189,0,6533,False,success,None,0.001
677,OeUtcaO-tBZkmMH9V9FBl,0FfuZSpuFwMn2OZbFGVir,Switch,Download file,0,2026-06-08 18:45:14.655,0.011,0,6533,False,success,None,0.001
677,OeUtcaO-tBZkmMH9V9FBl,0FfuZSpuFwMn2OZbFGVir,Extract from XLSX File,Switch,0,2026-06-08 18:45:14.697,0.042,0,2620,True,success,None,0.001
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Table & Data Extractor,AI Agent: Data Ingestion Specialist,0,2026-06-08 18:45:14.707,1.279,0,2620,True,success,None,0.005
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Simple Memory 1,AI Agent: Data Ingestion Specialist,1,2026-06-08 18:45:14.719,0.002,0,52,False,success,None,0.001
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,OpenAI Chat Model 1,AI Agent: Data Ingestion Specialist,1,2026-06-08 18:45:18.269,3.536,1613,6452,True,success,None,0.014
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,AI Agent: Data Ingestion Specialist,New Invoice Trigger,0,2026-06-08 18:45:18.272,3.563,0,4429,True,success,None,0.002
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Parse AI Classification,AI Agent: Data Ingestion Specialist,0,2026-06-08 18:45:18.285,0.011,0,502,True,success,None,0.005
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Extraction Successful?,Parse AI Classification,0,2026-06-08 18:45:18.288,0.002,0,2,False,success,None,0.001
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Simple Memory 2,AI Agent: Business Intelligence Auditor,0,2026-06-08 18:45:18.296,0.001,0,5050,True,success,None,0.007
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,OpenAI Chat Model 2,AI Agent: Business Intelligence Auditor,0,2026-06-08 18:45:20.646,2.331,1511,6044,False,success,None,0.019
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,SerpAPI,AI Agent: Business Intelligence Auditor,0,2026-06-08 18:45:24.734,4.034,0,165,True,success,None,0.054
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Calculator,AI Agent: Business Intelligence Auditor,0,2026-06-08 18:45:24.737,0.002,0,23,False,success,None,0.001
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Simple Memory 2,AI Agent: Business Intelligence Auditor,1,2026-06-08 18:45:24.753,0.001,0,5050,True,success,None,0.001
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,OpenAI Chat Model 2,AI Agent: Business Intelligence Auditor,1,2026-06-08 18:45:26.963,2.192,1738,6952,True,success,None,0.018
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,AI Agent: Business Intelligence Auditor,Extraction Successful?,0,2026-06-08 18:45:26.970,2.232,0,2183,True,success,None,0.001
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Parse BI Analysis,AI Agent: Business Intelligence Auditor,0,2026-06-08 18:45:26.990,0.019,0,613,True,success,None,0.008
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Convert to XML,Parse BI Analysis,0,2026-06-08 18:45:26.993,0.002,0,878,True,success,None,0.001
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Format XML Output,Convert to XML,0,2026-06-08 18:45:26.997,0.003,0,1532,True,success,None,0.001
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Needs Approval?,Format XML Output,0,2026-06-08 18:45:27.000,0.002,0,2,False,success,None,0.001
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Confirmation Email,Needs Approval?,0,2026-06-08 18:45:27.544,0.543,0,99,False,success,None,0.001
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Move File Archiv_Automatisch,Confirmation Email,0,2026-06-08 18:45:28.457,0.913,0,173,False,success,None,0.001
677,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Archive to Google Sheets (Automatisch),Move File Archiv_Automatisch,0,2026-06-08 18:45:31.213,2.755,0,554,True,success,None,0.001
679,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,New Invoice Trigger,,0,2026-06-08 18:51:19.662,0.407,0,4131,True,success,None,0.001
679,0FfuZSpuFwMn2OZbFGVir,0FfuZSpuFwMn2OZbFGVir,Simple Memory 1,AI Agent: Data Ingestion Specialist,0,2026-06-08 18:51:19.694,0.001,0,52,False,success,None,0.031
